portfolio,agency,program,scheme,value12_13,diff_percent,difference,value13_14,value14_15,value15_16,value16_17,source
Legislative Branch,Senate,Senate barber and beauty shops (revolving fund),Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Senate,Senate health promotion revolving fund,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Senate,Senate office of public records revolving fund,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Senate,Senate gift shop revolving fund,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Senate,Senate photographic studio revolving fund,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Senate,Senate recording studio revolving fund,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Senate,Senate Items,Legislative functions,2000,,0,2000,2000,2000,2000,
Legislative Branch,Senate,Senate Revolving Funds,Legislative functions,-1000,,7000,6000,0,0,0,
Legislative Branch,House of Representatives,House of Representatives,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,House of Representatives,Compensation of Members and Related Administrative Expenses,Legislative functions,101000,,0,101000,104000,106000,108000,
Legislative Branch,House of Representatives,Mileage of Members,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,House of Representatives,Payments to widows and heirs of deceased members of Congress,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,House of Representatives,Salaries and Expenses,Legislative functions,1247000,,69000,1316000,1295000,1300000,1289000,
Legislative Branch,House of Representatives,"Salaries, officers and employees",Legislative functions,0,,0,0,0,0,0,
Legislative Branch,House of Representatives,Stationery (revolving fund),Legislative functions,0,,0,0,0,0,0,
Legislative Branch,House of Representatives,Stationery (revolving fund),Legislative functions,0,,0,0,0,0,0,
Legislative Branch,House of Representatives,"Congressional Use of Foreign Currency, House of Representatives",Legislative functions,6000,,28000,34000,1000,1000,10000,
Legislative Branch,House of Representatives,Undistributed Intragovernmental Payments and Receivables from Cancelled Accounts,Deductions for offsetting receipts,0,,0,0,0,0,0,
Legislative Branch,House of Representatives,House of Representatives restaurant fund (revolving fund),Legislative functions,0,,0,0,0,0,0,
Legislative Branch,House of Representatives,House of Representatives restaurant fund (revolving fund),Legislative functions,0,,0,0,0,0,0,
Legislative Branch,House of Representatives,Recording studio (revolving fund),Legislative functions,0,,0,0,0,0,0,
Legislative Branch,House of Representatives,Recording studio (revolving fund),Legislative functions,0,,0,0,0,0,0,
Legislative Branch,House of Representatives,Beauty shop (revolving fund),Legislative functions,0,,0,0,0,0,0,
Legislative Branch,House of Representatives,House barber shops (revolving fund),Legislative functions,0,,0,0,0,0,0,
Legislative Branch,House of Representatives,Office of the attending physician (revolving fund),Legislative functions,0,,0,0,0,0,0,
Legislative Branch,House of Representatives,Page residence hall and meal plan,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,House of Representatives,"Legislative service organizations relvolving fund, House of Representatives",Legislative functions,0,,0,0,0,0,0,
Legislative Branch,House of Representatives,House Revolving Funds,Legislative functions,-3000,,31000,28000,0,0,0,
Legislative Branch,Joint Items,Capitol Guide Service and Special Services Office,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Joint Items,Joint Committee on Printing,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Joint Items,Joint Economic Committee,Legislative functions,4000,,0,4000,4000,4000,4000,
Legislative Branch,Joint Items,Joint Congressional Committee on Inaugural Ceremonies of 2013,Legislative functions,0,,1000,1000,0,0,0,
Legislative Branch,Joint Items,Office of Congressional Accessibility Services,Legislative functions,1000,,0,1000,1000,1000,1000,
Legislative Branch,Joint Items,Legislative Branch emergency response fund,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Joint Items,Office of the Attending Physician,Legislative functions,3000,,0,3000,3000,3000,3000,
Legislative Branch,Joint Items,Joint Committee on Taxation,Legislative functions,10000,,0,10000,10000,10000,10000,
Legislative Branch,Joint Items,All Other General Fund Proprietary Receipts Including Budget Clearing Accounts,Deductions for offsetting receipts,0,,0,0,0,0,0,
Legislative Branch,Joint Items,United States Capitol Police memorial fund,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Joint Items,United States Capitol Police Memorial Fund,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Office of Compliance,Joint Items,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Office of Compliance,Joint Committee on Printing,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Office of Compliance,Joint Economic Committee,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Office of Compliance,Joint Committee on Inaugural Ceremonies of 1993,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Office of Compliance,Office of the Attending Physician,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Office of Compliance,Joint Committee on Taxation,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Office of Compliance,Education of pages,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Office of Compliance,Official mail costs,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Office of Compliance,Awards and Settlements Funds,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Office of Compliance,Salaries and Expenses,Legislative functions,4000,,0,4000,4000,4000,4000,
Legislative Branch,Capitol Police,Security Enhancements,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Capitol Police,Salaries,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Capitol Police,General Expenses,Legislative functions,54000,,7000,61000,84000,71000,68000,
Legislative Branch,Capitol Police,Salaries,Legislative functions,279000,,0,279000,297000,306000,311000,
Legislative Branch,Capitol Police,Salaries and expenses,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Capitol Police,Contributions and donations,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Capitol Police,"Contributions and donations, Office of Technology Assessment",Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Congressional Budget Office,Congressional Budget Office,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Congressional Budget Office,Salaries and Expenses,Legislative functions,45000,,-1000,44000,46000,47000,48000,
Legislative Branch,Architect of the Capitol,Architect of the Capitol,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Architect of the Capitol,General Administration,Legislative functions,109000,,-11000,98000,115000,109000,106000,
Legislative Branch,Architect of the Capitol,Contingent expenses,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Architect of the Capitol,Acquisition of property as an addition to the Capitol grounds,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Architect of the Capitol,Capitol Building,Legislative functions,49000,,-14000,35000,56000,58000,64000,
Legislative Branch,Architect of the Capitol,"Alterations and improvements, buildings and grounds, to provide facilities for the physically handicapped",Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Architect of the Capitol,Capitol Grounds,Legislative functions,11000,,-3000,8000,15000,13000,14000,
Legislative Branch,Architect of the Capitol,West central front of the Capitol,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Architect of the Capitol,Congressional Cemetery,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Architect of the Capitol,Construction of an extension to the New Senate Office Building,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Architect of the Capitol,Senate Office Buildings,Legislative functions,76000,,-1000,75000,84000,78000,79000,
Legislative Branch,Architect of the Capitol,House Office Buildings,Legislative functions,98000,,-10000,88000,93000,106000,111000,
Legislative Branch,Architect of the Capitol,Installation of solar collectors in house office building,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Architect of the Capitol,Capitol Power Plant,Legislative functions,123000,,11000,134000,131000,129000,118000,
Legislative Branch,Architect of the Capitol,"Expansion of facilities, capital power plant",Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Architect of the Capitol,"Modifications and enlargement, Capitol Power Plant",Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Architect of the Capitol,Library Buildings and Grounds,Legislative functions,44000,,3000,47000,59000,69000,80000,
Legislative Branch,Architect of the Capitol,Library of Congress James Madison Memorial Building,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Architect of the Capitol,Capitol complex security enhancements,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Architect of the Capitol,Capitol Visitor Center,Legislative functions,25000,,0,25000,22000,22000,23000,
Legislative Branch,Architect of the Capitol,Capitol Police Buildings and Grounds,Legislative functions,19000,,3000,22000,25000,26000,27000,
Legislative Branch,Architect of the Capitol,House Historic Buildings Revitalization Trust Fund,Legislative functions,2000,,26000,28000,45000,47000,67000,
Legislative Branch,Architect of the Capitol,All Other General Fund Proprietary Receipts Including Budget Clearing Accounts,Deductions for offsetting receipts,-2000,,0,-2000,-2000,-2000,-2000,
Legislative Branch,Architect of the Capitol,Senate restaurant fund,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Architect of the Capitol,House of Representatives gymnasium,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Architect of the Capitol,Capitol Visitor Center Revolving Fund,Legislative functions,-3000,,3000,0,0,0,0,
Legislative Branch,Architect of the Capitol,Judiciary Office Building Development and Operations Fund,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Architect of the Capitol,Judiciary Office Building Development and Operations Fund,Legislative functions,-18000,,16000,-2000,-17000,-17000,-17000,
Legislative Branch,Architect of the Capitol,Gifts and Donations,Legislative functions,0,,-1000,-1000,-1000,-1000,-1000,
Legislative Branch,Botanic Garden,Botanic Garden,Legislative functions,13000,,0,13000,12000,12000,12000,
Legislative Branch,Botanic Garden,Botanic Garden,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Botanic Garden,Gifts and Donations,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Botanic Garden,Gifts and Donations,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Botanic Garden,"Gifts and Donations, Botanic Garden",Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Library of Congress,Library of Congress,Other advancement of commerce,0,,0,0,0,0,0,
Legislative Branch,Library of Congress,Library of Congress,Research and general education aids,0,,0,0,0,0,0,
Legislative Branch,Library of Congress,"Salaries and Expenses, Library of Congress",Research and general education aids,423000,,-14000,409000,417000,418000,423000,
Legislative Branch,Library of Congress,Copyright Office: Salaries and Expenses,Other advancement of commerce,20000,,-8000,12000,19000,20000,21000,
Legislative Branch,Library of Congress,Congressional Research Service: Salaries and Expenses,Legislative functions,107000,,0,107000,109000,113000,115000,
Legislative Branch,Library of Congress,Books for the Blind and Physically Handicapped: Salaries and Expenses,Research and general education aids,66000,,0,66000,59000,52000,53000,
Legislative Branch,Library of Congress,"National film preservation board, Salaries and expenses",Research and general education aids,0,,0,0,0,0,0,
Legislative Branch,Library of Congress,Collection and distribution of library materials (special foreign currency program),Research and general education aids,0,,0,0,0,0,0,
Legislative Branch,Library of Congress,Furniture and Furnishings,Research and general education aids,0,,0,0,0,0,0,
Legislative Branch,Library of Congress,All Other General Fund Proprietary Receipts Including Budget Clearing Accounts,Deductions for offsetting receipts,0,,0,0,0,0,0,
Legislative Branch,Library of Congress,Undistributed Intragovernmental Payments,Deductions for offsetting receipts,0,,0,0,0,0,0,
Legislative Branch,Library of Congress,Cooperative Acquisitions Program Revolving Fund,Research and general education aids,0,,-1000,-1000,-1000,0,0,
Legislative Branch,Library of Congress,Duplication Services,Research and general education aids,0,,0,0,0,0,0,
Legislative Branch,Library of Congress,"Gift Shop, Decimal Classification, Photo Duplication, and Related Services",Research and general education aids,-1000,,1000,0,0,0,0,
Legislative Branch,Library of Congress,Fedlink Program and Federal Research Program,Research and general education aids,3000,,-7000,-4000,-4000,-3000,-4000,
Legislative Branch,Library of Congress,Oliver Wendell Holmes devise fund,Research and general education aids,0,,0,0,0,0,0,
Legislative Branch,Library of Congress,"Oliver Wendell Holmes Devise Fund, Interest",Other interest,0,,0,0,0,0,0,
Legislative Branch,Library of Congress,Payments to Copyright Owners,Other advancement of commerce,0,,0,0,0,0,0,
Legislative Branch,Library of Congress,Payments to Copyright Owners,Other advancement of commerce,5000,,0,5000,5000,6000,6000,
Legislative Branch,Library of Congress,"Interest on Investments in Public Debt Securities, Copyright Office",Other interest,0,,0,0,0,0,0,
Legislative Branch,Library of Congress,"Unrealized Discount, Copyright Office",Other interest,0,,0,0,0,0,0,
Legislative Branch,Library of Congress,"Contributions, Library of Congress Gift Fund",Research and general education aids,-9000,,-1000,-10000,-10000,-10000,-10000,
Legislative Branch,Library of Congress,"Contributions, Library of Congress Permanent Loan Account",Research and general education aids,-2000,,0,-2000,-3000,-3000,-3000,
Legislative Branch,Library of Congress,"Income from Donated Securities, Library of Congress",Other interest,-2000,,-2000,-4000,-3000,-3000,-2000,
Legislative Branch,Library of Congress,"Deposits, Service Fees, Library of Congress",Research and general education aids,0,,0,0,0,0,0,
Legislative Branch,Library of Congress,Foreign service national separation liability trust fund,Federal employee retirement and disability,0,,0,0,0,0,0,
Legislative Branch,Library of Congress,Foreign Service National Separation Liability Trust Fund,Federal employee retirement and disability,0,,0,0,0,0,0,
Legislative Branch,Library of Congress,Gift and Trust Fund Accounts,Research and general education aids,0,,0,0,0,0,0,
Legislative Branch,Library of Congress,Gift and Trust Fund Accounts,Research and general education aids,12000,,5000,17000,16000,17000,18000,
Legislative Branch,Government Printing Office,Office of Superintendent of Documents: Salaries and Expenses,Other general government,35000,,-2000,33000,35000,35000,37000,
Legislative Branch,Government Printing Office,Printing and binding,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Government Printing Office,Congressional Printing and Binding,Legislative functions,79000,,25000,104000,99000,97000,84000,
Legislative Branch,Government Printing Office,Acquisition of site and general plans and designs of buildings,Other general government,0,,0,0,0,0,0,
Legislative Branch,Government Printing Office,Project planning,Other general government,0,,0,0,0,0,0,
Legislative Branch,Government Printing Office,Government Printing Office Revolving Fund,Other general government,0,,1000,1000,13000,13000,14000,
Legislative Branch,Government Printing Office,Government Printing Office Revolving Fund,Other general government,-82000,,109000,27000,117000,108000,107000,
Legislative Branch,Government Accountability Office,Salaries and Expenses,Legislative functions,506000,,47000,553000,532000,537000,548000,
Legislative Branch,Government Accountability Office,Charges for Services to Public Enterprise Funds,Central fiscal operations,0,,0,0,0,0,0,
Legislative Branch,Government Accountability Office,"Payment for space and services, GAO",Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Government Accountability Office,"Deposits, service fees, Library of Congress",Research and general education aids,0,,0,0,0,0,0,
Legislative Branch,Government Accountability Office,Contributions,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Government Accountability Office,"Contributions, Government Accountability Office",Legislative functions,0,,0,0,0,0,0,
Legislative Branch,United States Tax Court,Salaries and Expenses,Federal litigative and judicial activities,49000,,3000,52000,55000,54000,55000,
Legislative Branch,United States Tax Court,Construction,Federal litigative and judicial activities,0,,0,0,0,0,0,
Legislative Branch,United States Tax Court,"Tax courts independent counsel, U.S. Tax Court",Federal litigative and judicial activities,0,,0,0,0,0,0,
Legislative Branch,United States Tax Court,Tax Court Judges Survivors Annuity Fund,Federal employee retirement and disability,0,,0,0,0,1000,1000,
Legislative Branch,Legislative Branch Boards and Commissions,Commission on Security and Cooperation in Europe: Salaries and expenses,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Legislative Branch Boards and Commissions,Payment to Open World Leadership Center Trust Fund,Foreign information and exchange activities,11000,,-1000,10000,10000,10000,10000,
Legislative Branch,Legislative Branch Boards and Commissions,Copyright Royalty Tribunal: Salaries and expenses,Other advancement of commerce,0,,0,0,0,0,0,
Legislative Branch,Legislative Branch Boards and Commissions,Biomedical Ethics: Salaries and expenses,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Legislative Branch Boards and Commissions,International Conferences and Contingencies: House and Senate expenses,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Legislative Branch Boards and Commissions,Cost-Accounting Standards Board: Salaries and expenses,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Legislative Branch Boards and Commissions,Commission on Immigration Reform,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Legislative Branch Boards and Commissions,Railroad Accounting Principles Board: Salaries and expenses,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Legislative Branch Boards and Commissions,Commission on Railroad Retirement Reform,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Legislative Branch Boards and Commissions,Payment to the Congressional Award Board,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Legislative Branch Boards and Commissions,Physician Payment Review Commission,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Legislative Branch Boards and Commissions,Physician Payment Review Commission,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Legislative Branch Boards and Commissions,Prescription Drug Payment Review Commission,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Legislative Branch Boards and Commissions,United States Bipartisan Commission on Comprehensive Health Care,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Legislative Branch Boards and Commissions,National Commission on Acquired Immune Deficiency Syndrome,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Legislative Branch Boards and Commissions,National Commission on Children,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Legislative Branch Boards and Commissions,National Commission to Prevent Infant Mortality,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Legislative Branch Boards and Commissions,National Commission on Terrorist Attacks upon the United States,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Legislative Branch Boards and Commissions,Medicare Payment Advisory Commission,Health care services,0,,0,0,0,0,0,
Legislative Branch,Legislative Branch Boards and Commissions,Medicare Payment Advisory Commission,Medicare,0,,0,0,0,0,0,
Legislative Branch,Legislative Branch Boards and Commissions,"Dwight David Eisenhower Centennial Commission, expenses",Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Legislative Branch Boards and Commissions,Medicaid and CHIP Payment and Access Commission,Health care services,4000,,1000,5000,10000,11000,11000,
Legislative Branch,Legislative Branch Boards and Commissions,Medicaid and CHIP Payment and Access Commission,Health care services,1000,,2000,3000,0,0,0,
Legislative Branch,Legislative Branch Boards and Commissions,National Health Care Workforce Commission,Legislative functions,0,,0,0,3000,3000,3000,
Legislative Branch,Legislative Branch Boards and Commissions,Census Monitoring Board,Other advancement of commerce,0,,0,0,0,0,0,
Legislative Branch,Legislative Branch Boards and Commissions,Gambling Impact Study Commission,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Legislative Branch Boards and Commissions,National Commission on Manufactured Housing,Other advancement of commerce,0,,0,0,0,0,0,
Legislative Branch,Legislative Branch Boards and Commissions,United States-China Economic and Security Review Commission,Legislative functions,3000,,0,3000,4000,4000,4000,
Legislative Branch,Legislative Branch Boards and Commissions,Commission on International Religious Freedom,Legislative functions,3000,,0,3000,3000,4000,4000,
Legislative Branch,Legislative Branch Boards and Commissions,"Capital Construction, Dwight D. Eisenhower Memorial Commission",Legislative functions,6000,,4000,10000,21000,37000,43000,
Legislative Branch,Legislative Branch Boards and Commissions,Commission on Review of Overseas Military Facility Structure of the United States,Defense-related activities,0,,0,0,0,0,0,
Legislative Branch,Legislative Branch Boards and Commissions,Prospective Payment Assessment Commission,Health care services,0,,0,0,0,0,0,
Legislative Branch,Legislative Branch Boards and Commissions,Prospective Payment Assessment Commission,Health care services,0,,0,0,0,0,0,
Legislative Branch,Legislative Branch Boards and Commissions,Competitiveness Policy Council,Other advancement of commerce,0,,0,0,0,0,0,
Legislative Branch,Legislative Branch Boards and Commissions,"Gifts and donations, Millennial Housing Commission",Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Legislative Branch Boards and Commissions,"Gifts and donations, Millennial Housing Commission",Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Legislative Branch Boards and Commissions,Open World Leadership Center Trust Fund,Foreign information and exchange activities,12000,,-1000,11000,11000,11000,10000,
Legislative Branch,Legislative Branch Boards and Commissions,"Gifts and Donations, Open World Leadership Center Trust Fund",Foreign information and exchange activities,0,,0,0,0,-1000,-1000,
Legislative Branch,Legislative Branch Boards and Commissions,"Payment from the General Fund, Open World Leadership Center Trust Fund",Foreign information and exchange activities,-11000,,1000,-10000,-10000,-10000,-10000,
Legislative Branch,Legislative Branch Boards and Commissions,"Gifts and donations, National Commission on Children",Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Legislative Branch Boards and Commissions,"Gifts and donations, National Commission on Children",Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Legislative Branch Boards and Commissions,"Gifts and Donations, National Commission on Children",Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Legislative Branch Boards and Commissions,John C. Stennis Center for Public Service Training and Development Trust Fund,Legislative functions,1000,,1000,2000,2000,2000,2000,
Legislative Branch,Legislative Branch Boards and Commissions,"Payments, John C. Stennis Center for Public Service Training and Development",Legislative functions,-1000,,0,-1000,-1000,-1000,-1000,
Legislative Branch,Legislative Branch Boards and Commissions,"Donations, John C. Stennis Center",Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Legislative Branch Boards and Commissions,U.S. Capitol Preservation Commission,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Legislative Branch Boards and Commissions,"Coin Sale Surcharges, U.S. Capitol Preservation Commission",Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Legislative Branch Boards and Commissions,"Gifts and Donations, U.S. Capitol Preservation Commission",Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Legislative Branch Boards and Commissions,United States Commission on Improving the Effectiveness of the United Nations,Conduct of foreign affairs,0,,0,0,0,0,0,
Legislative Branch,Legislative Branch Boards and Commissions,United States Commission on Improving the Effectiveness of the United Nations,Conduct of foreign affairs,0,,0,0,0,0,0,
Legislative Branch,Legislative Branch Boards and Commissions,Other Legislative Branch Boards and Commissions,Other advancement of commerce,0,,0,0,0,0,0,
Legislative Branch,Legislative Branch Boards and Commissions,Other Legislative Branch Boards and Commissions,Higher education,0,,0,0,0,0,0,
Legislative Branch,Legislative Branch Boards and Commissions,Other Legislative Branch Boards and Commissions,Legislative functions,6000,,1000,7000,6000,6000,6000,
Legislative Branch,John C. Stennis Center for Public Service Training and Development,Payment to John C. Stennis Center,Legislative functions,0,,0,0,0,0,0,
Judicial Branch,Judicial Branch,"Receipts, Federal litigative and judicial activities",Federal litigative and judicial activities,0,,0,0,0,0,0,
Judicial Branch,Judicial Branch,"Proceeds from Sale of Property, Judiciary Information Technology Fund",Federal litigative and judicial activities,-124000,,-41000,-165000,-173000,-177000,-180000,
Judicial Branch,Judicial Branch,"Advances and Reimbursements, Judiciary Information Technology Fund",Federal litigative and judicial activities,-362000,,85000,-277000,-334000,-374000,-377000,
Judicial Branch,Judicial Branch,Federal Payment to Judicial Survivors Annuities Fund,Federal litigative and judicial activities,-13000,,-10000,-23000,-16000,-16000,-17000,
Judicial Branch,Judicial Branch,Federal Payment to Judicial Officers Retirement Fund,Federal litigative and judicial activities,-87000,,-9000,-96000,-105000,-116000,-127000,
Judicial Branch,Judicial Branch,Federal Payment to Claims Court Judges' Retirement Fund,Federal litigative and judicial activities,-4000,,-3000,-7000,-6000,-5000,-5000,
Judicial Branch,Supreme Court of the United States,Salaries and Expenses,Federal litigative and judicial activities,68000,,-3000,65000,73000,75000,76000,
Judicial Branch,Supreme Court of the United States,Salaries and Expenses,Federal litigative and judicial activities,2000,,0,2000,2000,2000,2000,
Judicial Branch,Supreme Court of the United States,Care of the Building and Grounds,Federal litigative and judicial activities,17000,,0,17000,13000,15000,13000,
Judicial Branch,Supreme Court of the United States,Acquisition of property as an addition to the grounds,Federal litigative and judicial activities,0,,0,0,0,0,0,
Judicial Branch,United States Court of Appeals for the Federal Circuit,Salaries and Expenses,Federal litigative and judicial activities,29000,,2000,31000,32000,31000,31000,
Judicial Branch,United States Court of Appeals for the Federal Circuit,Salaries and Expenses,Federal litigative and judicial activities,3000,,0,3000,3000,3000,3000,
Judicial Branch,Court of Customs and Patent Appeals,Salaries and expenses,Federal litigative and judicial activities,0,,0,0,0,0,0,
Judicial Branch,United States Court of International Trade,Salaries and Expenses,Federal litigative and judicial activities,18000,,2000,20000,20000,21000,21000,
Judicial Branch,United States Court of International Trade,Salaries and Expenses,Federal litigative and judicial activities,2000,,0,2000,2000,2000,2000,
Judicial Branch,Court of Claims,Salaries and expenses,Federal litigative and judicial activities,0,,0,0,0,0,0,
Judicial Branch,"Courts of Appeals, District Courts, and other Judicial Services",Salaries and Expenses,Federal litigative and judicial activities,4600000,,111000,4711000,4816000,4942000,5039000,
Judicial Branch,"Courts of Appeals, District Courts, and other Judicial Services",Salaries and Expenses,Federal litigative and judicial activities,328000,,10000,338000,353000,353000,353000,
Judicial Branch,"Courts of Appeals, District Courts, and other Judicial Services","Bankruptcy courts, salaries and expenses",Federal litigative and judicial activities,0,,0,0,0,0,0,
Judicial Branch,"Courts of Appeals, District Courts, and other Judicial Services",Commission for structural alternatives for the Federal Courts of Appeals,Federal litigative and judicial activities,0,,0,0,0,0,0,
